날짜,종가,시가,고가,저가,거래량,거래대금,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
1997-01-03,39586,37359,39998,37359,6147,2414310,0,0.0,N,3,247,
1997-01-04,38019,39586,39586,37936,12501,4804800,0,0.0,N,5,-1566,
1997-01-06,36534,37111,37359,36534,18600,6893220,0,0.0,N,5,-1484,
1997-01-07,35380,36534,36782,35297,15751,5668380,0,0.0,N,5,-1154,
1997-01-08,38101,35874,38184,34802,21243,7992260,0,0.0,N,2,2721,
1997-01-09,38926,37029,39421,36287,14320,5974410,0,0.0,N,2,824,
1997-01-10,37936,38101,38926,37689,17206,6601210,0,0.0,N,5,-989,
1997-01-11,37936,37936,38348,37936,7263,2763590,0,0.0,N,3,0,
1997-01-13,37689,37936,38596,37441,13289,5055070,0,0.0,N,5,-247,
1997-01-14,39586,37524,40410,37524,40826,16679420,0,0.0,N,2,1896,
1997-01-15,39503,39833,40740,38761,29731,11867890,0,0.0,N,5,-82,
1997-01-16,39008,39998,39998,39008,57571,22523320,0,0.0,N,5,-494,
1997-01-17,38348,39008,39668,38348,87946,34305300,0,0.0,N,5,-659,
1997-01-18,38348,38348,38761,37936,27658,10583510,0,0.0,N,3,0,
1997-01-20,38926,38348,39503,38348,32265,12637260,0,0.0,N,2,577,
1997-01-21,37689,40328,40328,37689,14162,5506230,0,0.0,N,5,-1237,
1997-01-22,37689,37771,37771,36782,20164,7495420,0,0.0,N,3,0,
1997-01-23,37689,38596,38678,37524,31586,11967320,0,0.0,N,3,0,
1997-01-24,37359,36452,37689,36452,41808,15580750,0,0.0,N,5,-329,
1997-01-25,37936,37524,38348,37524,9227,3496420,0,0.0,N,2,577,
1997-01-27,37111,37936,37936,36946,17436,6503930,0,0.0,N,5,-824,
1997-01-28,37936,36946,39173,36699,65659,25085040,0,0.0,N,2,824,
1997-01-29,38761,38761,39173,37524,34497,13263760,0,0.0,N,2,824,
1997-01-30,39091,38843,39586,38761,46683,18308660,0,0.0,N,2,329,
1997-01-31,39173,39091,39750,39091,46816,18418350,0,0.0,N,2,82,
1997-02-01,39586,39668,39750,38348,46513,18220850,0,0.0,N,2,412,
1997-02-03,40245,38348,41235,38348,96579,39204430,0,0.0,N,2,659,
1997-02-04,42307,41070,42884,40410,89983,37910120,0,0.0,N,2,2061,
1997-02-05,41235,42060,42802,40575,73924,31471930,0,0.0,N,5,-1072,
1997-02-06,42060,41070,42142,40493,46937,19582540,0,0.0,N,2,824,
1997-02-10,42225,42554,42554,41647,16769,7063310,0,0.0,N,2,164,
1997-02-11,41482,42225,42225,40905,28628,12966600,0,0.0,N,5,-742,
1997-02-12,41482,41235,42472,40905,26930,11662450,0,0.0,N,3,0,
1997-02-13,42554,41482,44451,41482,85472,36535230,0,0.0,N,2,1072,
1997-02-14,41730,42884,43462,41730,43542,18541220,0,0.0,N,5,-824,
1997-02-15,41400,41400,42884,41400,15181,6348170,0,0.0,N,5,-329,
1997-02-17,40493,41400,41565,40493,23559,9616350,0,0.0,N,5,-907,
1997-02-18,38596,39668,40410,38513,102605,41059210,0,0.0,N,5,-1896,
1997-02-19,38761,40410,40410,38019,80476,31094030,0,0.0,N,2,164,
1997-02-20,37936,38926,39173,37771,105018,40004620,0,0.0,N,5,-824,
1997-02-21,35874,37936,38019,35874,152065,58213250,0,0.0,N,5,-2061,
1997-02-22,35957,35874,36369,35544,88018,31530560,0,0.0,N,2,82,
1997-02-24,35792,36699,37029,35627,79385,28853240,0,0.0,N,5,-164,
1997-02-25,37689,35957,37936,35627,129609,48353230,0,0.0,N,2,1896,
1997-02-26,37111,37689,38431,36946,72425,27372230,0,0.0,N,5,-577,
1997-02-27,35709,37111,37276,35709,53267,19348570,0,0.0,N,5,-1402,
1997-02-28,36534,35709,37111,35462,81216,29367480,0,0.0,N,2,824,
1997-03-03,36534,36534,37029,36369,27379,12114090,0,0.0,N,3,0,
1997-03-04,35957,36946,36946,35462,73456,26395100,0,0.0,N,5,-577,
1997-03-05,35462,36287,36287,35132,137212,48760100,0,0.0,N,5,-494,
1997-03-06,34802,35462,35462,34637,121776,42635000,0,0.0,N,5,-659,
1997-03-07,35380,34802,35462,34555,154284,55096300,0,0.0,N,2,577,
1997-03-08,34885,35380,35709,34637,41493,14664370,0,0.0,N,5,-494,
1997-03-10,34307,35462,35462,34142,64386,22223480,0,0.0,N,5,-577,
1997-03-11,32658,34307,34390,32576,168871,55833560,0,0.0,N,5,-1649,
1997-03-12,33235,32823,33730,32740,125438,41758360,0,0.0,N,2,577,
1997-03-13,32576,33153,33400,32576,112645,39741070,0,0.0,N,5,-659,
1997-03-14,30926,32163,32576,30679,126323,40758060,0,0.0,N,5,-1649,
1997-03-15,31338,30596,31668,30514,40547,13656570,0,0.0,N,2,412,
1997-03-17,33400,32493,33400,31751,108426,35126680,0,0.0,N,2,2061,
1997-03-18,32740,33400,33730,32576,43991,14538790,0,0.0,N,5,-659,
1997-03-19,32328,32576,32740,31751,42899,13892150,0,0.0,N,5,-412,
1997-03-20,32163,32163,32576,31833,71613,23016870,0,0.0,N,5,-164,
1997-03-21,31503,32163,32163,31503,38910,12369130,0,0.0,N,5,-659,
1997-03-22,30926,31503,31916,30926,39056,12226750,0,0.0,N,5,-577,
1997-03-24,30926,30679,31586,30514,60154,18895750,0,0.0,N,3,0,
1997-03-25,32988,31091,33400,31091,85411,27741450,0,0.0,N,2,2061,
1997-03-26,32988,33153,33400,32411,78354,26395060,0,0.0,N,3,0,
1997-03-27,32246,33235,33235,32246,40959,13486440,0,0.0,N,5,-742,
1997-03-28,32328,32328,32823,32328,50017,16269340,0,0.0,N,2,82,
1997-03-29,30101,32576,32988,30101,35139,11133800,0,0.0,N,5,-2226,
1997-03-31,32493,32493,32493,32163,114403,37138090,0,0.0,N,1,2391,
1997-04-01,33978,34637,34802,33318,244947,85301390,0,0.0,N,2,1484,
1997-04-02,35132,34472,35297,33565,152623,52975580,0,0.0,N,2,1154,
1997-04-03,35132,35132,36122,34802,133901,47564800,0,0.0,N,3,0,
1997-04-04,35462,35462,35874,35132,90140,34478210,0,0.0,N,2,329,
1997-04-07,35462,35462,36122,35215,83580,30255330,0,0.0,N,3,0,
1997-04-08,34967,35544,35709,34637,57292,20901590,0,0.0,N,5,-494,
1997-04-09,34967,34967,35215,34390,61136,21252550,0,0.0,N,3,0,
1997-04-10,34637,35132,35132,34307,84708,29472240,0,0.0,N,5,-329,
1997-04-11,34555,34225,34555,33813,61403,21098920,0,0.0,N,5,-82,
1997-04-12,34390,34637,35050,34390,25305,8765380,0,0.0,N,5,-164,
1997-04-14,34637,34225,34967,34225,65392,22619100,0,0.0,N,2,247,
1997-04-15,34225,34555,34637,33895,62288,21434350,0,0.0,N,5,-412,
1997-04-16,34637,34967,34967,34225,93827,32401550,0,0.0,N,2,412,
1997-04-17,34225,34637,34637,33978,40438,15001020,0,0.0,N,5,-412,
1997-04-18,33978,34472,34472,33565,83593,28308960,0,0.0,N,5,-247,
1997-04-19,34307,34225,34472,33648,48865,17323040,0,0.0,N,2,329,
